Sexo,Comunidades y Ciudades Autónomas,Edad,Periodo,Total,Total2
Ambos sexos,Total Nacional,Menores de 25 años,2006T4,17,81
Ambos sexos,Total Nacional,Menores de 25 años,2006T3,16,90
Ambos sexos,Total Nacional,Menores de 25 años,2006T2,18,20
Ambos sexos,Total Nacional,Menores de 25 años,2006T1,18,71
Ambos sexos,Total Nacional,Menores de 25 años,2005T4,18,62
Ambos sexos,Total Nacional,Menores de 25 años,2005T3,18,1
Ambos sexos,Total Nacional,Menores de 25 años,2005T2,20,29
Ambos sexos,Total Nacional,Menores de 25 años,2005T1,21,69
Ambos sexos,Total Nacional,Menores de 25 años,2004T4,21,27
Ambos sexos,Total Nacional,Menores de 25 años,2004T3,21,63
Ambos sexos,Total Nacional,Menores de 25 años,2004T2,22,46
Ambos sexos,Total Nacional,Menores de 25 años,2004T1,22,65
Ambos sexos,Total Nacional,Menores de 25 años,2003T4,22,94
Ambos sexos,Total Nacional,Menores de 25 años,2003T3,22,19
Ambos sexos,Total Nacional,Menores de 25 años,2003T2,22,28
Ambos sexos,Total Nacional,Menores de 25 años,2003T1,23,39
Ambos sexos,Total Nacional,Menores de 25 años,2002T4,23,16
Ambos sexos,Total Nacional,Menores de 25 años,2002T3,22,5
Ambos sexos,Total Nacional,Menores de 25 años,2002T2,21,50
Ambos sexos,Total Nacional,Menores de 25 años,2002T1,22,8
Ambos sexos,Total Nacional,25 y más años,2023T4,10,50
Ambos sexos,Total Nacional,25 y más años,2023T3,10,50
Ambos sexos,Total Nacional,25 y más años,2023T2,10,36
Ambos sexos,Total Nacional,25 y más años,2023T1,12,6
Ambos sexos,Total Nacional,25 y más años,2022T4,11,69
Ambos sexos,Total Nacional,25 y más años,2022T3,11,20
Ambos sexos,Total Nacional,25 y más años,2022T2,11,27
Ambos sexos,Total Nacional,25 y más años,2022T1,12,49
Ambos sexos,Total Nacional,25 y más años,2021T4,12,15
Ambos sexos,Total Nacional,25 y más años,2021T3,13,29
Ambos sexos,Total Nacional,25 y más años,2021T2,13,60
Ambos sexos,Total Nacional,25 y más años,2021T1,14,45
Ambos sexos,Total Nacional,25 y más años,2020T4,14,55
Ambos sexos,Total Nacional,25 y más años,2020T3,14,51
Ambos sexos,Total Nacional,25 y más años,2020T2,13,81
Ambos sexos,Total Nacional,25 y más años,2020T1,13,14
Ambos sexos,Total Nacional,25 y más años,2019T4,12,61
Ambos sexos,Total Nacional,25 y más años,2019T3,12,55
Ambos sexos,Total Nacional,25 y más años,2019T2,12,67
Ambos sexos,Total Nacional,25 y más años,2019T1,13,31
Ambos sexos,Total Nacional,25 y más años,2018T4,13,11
Ambos sexos,Total Nacional,25 y más años,2018T3,13,16
Ambos sexos,Total Nacional,25 y más años,2018T2,13,91
Ambos sexos,Total Nacional,25 y más años,2018T1,15,44
Ambos sexos,Total Nacional,25 y más años,2017T4,15,8
Ambos sexos,Total Nacional,25 y más años,2017T3,14,89
Ambos sexos,Total Nacional,25 y más años,2017T2,15,67
Ambos sexos,Total Nacional,25 y más años,2017T1,17,22
Ambos sexos,Total Nacional,25 y más años,2016T4,17,0
Ambos sexos,Total Nacional,25 y más años,2016T3,17,24
Ambos sexos,Total Nacional,25 y más años,2016T2,18,15
Ambos sexos,Total Nacional,25 y más años,2016T1,19,28
Ambos sexos,Total Nacional,25 y más años,2015T4,19,13
Ambos sexos,Total Nacional,25 y más años,2015T3,19,22
Ambos sexos,Total Nacional,25 y más años,2015T2,20,42
Ambos sexos,Total Nacional,25 y más años,2015T1,21,81
Ambos sexos,Total Nacional,25 y más años,2014T4,21,64
Ambos sexos,Total Nacional,25 y más años,2014T3,21,43
Ambos sexos,Total Nacional,25 y más años,2014T2,22,35
Ambos sexos,Total Nacional,25 y más años,2014T1,23,72
Ambos sexos,Total Nacional,25 y más años,2013T4,23,48
Ambos sexos,Total Nacional,25 y más años,2013T3,23,28
Ambos sexos,Total Nacional,25 y más años,2013T2,23,68
Ambos sexos,Total Nacional,25 y más años,2013T1,24,54
Ambos sexos,Total Nacional,25 y más años,2012T4,23,46
Ambos sexos,Total Nacional,25 y más años,2012T3,22,42
Ambos sexos,Total Nacional,25 y más años,2012T2,21,99
Ambos sexos,Total Nacional,25 y más años,2012T1,21,90
Ambos sexos,Total Nacional,25 y más años,2011T4,20,37
Ambos sexos,Total Nacional,25 y más años,2011T3,18,99
Ambos sexos,Total Nacional,25 y más años,2011T2,18,36
Ambos sexos,Total Nacional,25 y más años,2011T1,18,90
Ambos sexos,Total Nacional,25 y más años,2010T4,18,2
Ambos sexos,Total Nacional,25 y más años,2010T3,17,49
Ambos sexos,Total Nacional,25 y más años,2010T2,17,72
Ambos sexos,Total Nacional,25 y más años,2010T1,17,81
Ambos sexos,Total Nacional,25 y más años,2009T4,16,65
Ambos sexos,Total Nacional,25 y más años,2009T3,15,45
Ambos sexos,Total Nacional,25 y más años,2009T2,15,59
Ambos sexos,Total Nacional,25 y más años,2009T1,15,25
Ambos sexos,Total Nacional,25 y más años,2008T4,12,6
Ambos sexos,Total Nacional,25 y más años,2008T3,9,63
Ambos sexos,Total Nacional,25 y más años,2008T2,8,80
Ambos sexos,Total Nacional,25 y más años,2008T1,8,27
Ambos sexos,Total Nacional,25 y más años,2007T4,7,37
Ambos sexos,Total Nacional,25 y más años,2007T3,6,73
Ambos sexos,Total Nacional,25 y más años,2007T2,6,68
Ambos sexos,Total Nacional,25 y más años,2007T1,7,29
Ambos sexos,Total Nacional,25 y más años,2006T4,7,7
Ambos sexos,Total Nacional,25 y más años,2006T3,6,91
Ambos sexos,Total Nacional,25 y más años,2006T2,7,18
Ambos sexos,Total Nacional,25 y más años,2006T1,7,79
Ambos sexos,Total Nacional,25 y más años,2005T4,7,41
Ambos sexos,Total Nacional,25 y más años,2005T3,7,6
Ambos sexos,Total Nacional,25 y más años,2005T2,7,83
Ambos sexos,Total Nacional,25 y más años,2005T1,8,62
Ambos sexos,Total Nacional,25 y más años,2004T4,9,13
Ambos sexos,Total Nacional,25 y más años,2004T3,9,22
Ambos sexos,Total Nacional,25 y más años,2004T2,9,56
Ambos sexos,Total Nacional,25 y más años,2004T1,10,0
Ambos sexos,Total Nacional,25 y más años,2003T4,9,78
Ambos sexos,Total Nacional,25 y más años,2003T3,9,71
Ambos sexos,Total Nacional,25 y más años,2003T2,9,72
Ambos sexos,Total Nacional,25 y más años,2003T1,10,37
Ambos sexos,Total Nacional,25 y más años,2002T4,9,92
Ambos sexos,Total Nacional,25 y más años,2002T3,9,87
Ambos sexos,Total Nacional,25 y más años,2002T2,9,60
Ambos sexos,Total Nacional,25 y más años,2002T1,9,96
Ambos sexos,Total Nacional,De 16 a 19 años,2023T4,42,46
Ambos sexos,Total Nacional,De 16 a 19 años,2023T3,40,18
Ambos sexos,Total Nacional,De 16 a 19 años,2023T2,42,94
Ambos sexos,Total Nacional,De 16 a 19 años,2023T1,46,91
Ambos sexos,Total Nacional,De 16 a 19 años,2022T4,42,81
Ambos sexos,Total Nacional,De 16 a 19 años,2022T3,45,42
Ambos sexos,Total Nacional,De 16 a 19 años,2022T2,48,67
Ambos sexos,Total Nacional,De 16 a 19 años,2022T1,46,43
Ambos sexos,Total Nacional,De 16 a 19 años,2021T4,49,22
Ambos sexos,Total Nacional,De 16 a 19 años,2021T3,42,82
Ambos sexos,Total Nacional,De 16 a 19 años,2021T2,56,56
Ambos sexos,Total Nacional,De 16 a 19 años,2021T1,58,23
Ambos sexos,Total Nacional,De 16 a 19 años,2020T4,60,14
Ambos sexos,Total Nacional,De 16 a 19 años,2020T3,55,93
Ambos sexos,Total Nacional,De 16 a 19 años,2020T2,54,50
Ambos sexos,Total Nacional,De 16 a 19 años,2020T1,47,29
Ambos sexos,Total Nacional,De 16 a 19 años,2019T4,43,90
Ambos sexos,Total Nacional,De 16 a 19 años,2019T3,42,15
Ambos sexos,Total Nacional,De 16 a 19 años,2019T2,46,26
Ambos sexos,Total Nacional,De 16 a 19 años,2019T1,49,26
Ambos sexos,Total Nacional,De 16 a 19 años,2018T4,46,89
Ambos sexos,Total Nacional,De 16 a 19 años,2018T3,45,43
Ambos sexos,Total Nacional,De 16 a 19 años,2018T2,51,64
Ambos sexos,Total Nacional,De 16 a 19 años,2018T1,56,15
Ambos sexos,Total Nacional,De 16 a 19 años,2017T4,54,20
Ambos sexos,Total Nacional,De 16 a 19 años,2017T3,50,41
Ambos sexos,Total Nacional,De 16 a 19 años,2017T2,55,98
Ambos sexos,Total Nacional,De 16 a 19 años,2017T1,58,74
Ambos sexos,Total Nacional,De 16 a 19 años,2016T4,58,67
Ambos sexos,Total Nacional,De 16 a 19 años,2016T3,54,69
Ambos sexos,Total Nacional,De 16 a 19 años,2016T2,63,52
Ambos sexos,Total Nacional,De 16 a 19 años,2016T1,64,12
Ambos sexos,Total Nacional,De 16 a 19 años,2015T4,66,9
Ambos sexos,Total Nacional,De 16 a 19 años,2015T3,63,73
Ambos sexos,Total Nacional,De 16 a 19 años,2015T2,69,36
Ambos sexos,Total Nacional,De 16 a 19 años,2015T1,70,45
Ambos sexos,Total Nacional,De 16 a 19 años,2014T4,67,28
Ambos sexos,Total Nacional,De 16 a 19 años,2014T3,66,71
Ambos sexos,Total Nacional,De 16 a 19 años,2014T2,70,39
Ambos sexos,Total Nacional,De 16 a 19 años,2014T1,70,16
Ambos sexos,Total Nacional,De 16 a 19 años,2013T4,75,53
Ambos sexos,Total Nacional,De 16 a 19 años,2013T3,72,15
Ambos sexos,Total Nacional,De 16 a 19 años,2013T2,73,0
Ambos sexos,Total Nacional,De 16 a 19 años,2013T1,75,63
Ambos sexos,Total Nacional,De 16 a 19 años,2012T4,73,88
Ambos sexos,Total Nacional,De 16 a 19 años,2012T3,71,89
Ambos sexos,Total Nacional,De 16 a 19 años,2012T2,73,19
Ambos sexos,Total Nacional,De 16 a 19 años,2012T1,71,44
Ambos sexos,Total Nacional,De 16 a 19 años,2011T4,69,15
Ambos sexos,Total Nacional,De 16 a 19 años,2011T3,60,38
Ambos sexos,Total Nacional,De 16 a 19 años,2011T2,62,53
Ambos sexos,Total Nacional,De 16 a 19 años,2011T1,65,30
Ambos sexos,Total Nacional,De 16 a 19 años,2010T4,63,67
Ambos sexos,Total Nacional,De 16 a 19 años,2010T3,59,99
Ambos sexos,Total Nacional,De 16 a 19 años,2010T2,62,15
Ambos sexos,Total Nacional,De 16 a 19 años,2010T1,59,54
Ambos sexos,Total Nacional,De 16 a 19 años,2009T4,57,47
Ambos sexos,Total Nacional,De 16 a 19 años,2009T3,53,52
Ambos sexos,Total Nacional,De 16 a 19 años,2009T2,56,18
Ambos sexos,Total Nacional,De 16 a 19 años,2009T1,54,25
Ambos sexos,Total Nacional,De 16 a 19 años,2008T4,45,83
Ambos sexos,Total Nacional,De 16 a 19 años,2008T3,38,34
Ambos sexos,Total Nacional,De 16 a 19 años,2008T2,40,96
Ambos sexos,Total Nacional,De 16 a 19 años,2008T1,32,82
Ambos sexos,Total Nacional,De 16 a 19 años,2007T4,31,8
Ambos sexos,Total Nacional,De 16 a 19 años,2007T3,27,21
Ambos sexos,Total Nacional,De 16 a 19 años,2007T2,29,19
Ambos sexos,Total Nacional,De 16 a 19 años,2007T1,27,59
Ambos sexos,Total Nacional,De 16 a 19 años,2006T4,31,23
Ambos sexos,Total Nacional,De 16 a 19 años,2006T3,24,87
Ambos sexos,Total Nacional,De 16 a 19 años,2006T2,31,22
Ambos sexos,Total Nacional,De 16 a 19 años,2006T1,29,68
Ambos sexos,Total Nacional,De 16 a 19 años,2005T4,27,83
Ambos sexos,Total Nacional,De 16 a 19 años,2005T3,26,88
Ambos sexos,Total Nacional,De 16 a 19 años,2005T2,31,7
Ambos sexos,Total Nacional,De 16 a 19 años,2005T1,31,21
Ambos sexos,Total Nacional,De 16 a 19 años,2004T4,29,4
Ambos sexos,Total Nacional,De 16 a 19 años,2004T3,29,28
Ambos sexos,Total Nacional,De 16 a 19 años,2004T2,32,16
Ambos sexos,Total Nacional,De 16 a 19 años,2004T1,32,45
Ambos sexos,Total Nacional,De 16 a 19 años,2003T4,32,7
Ambos sexos,Total Nacional,De 16 a 19 años,2003T3,31,49
Ambos sexos,Total Nacional,De 16 a 19 años,2003T2,34,13
Ambos sexos,Total Nacional,De 16 a 19 años,2003T1,33,85
Ambos sexos,Total Nacional,De 16 a 19 años,2002T4,31,55
Ambos sexos,Total Nacional,De 16 a 19 años,2002T3,30,6
Ambos sexos,Total Nacional,De 16 a 19 años,2002T2,29,48
Ambos sexos,Total Nacional,De 16 a 19 años,2002T1,28,42
Ambos sexos,Total Nacional,De 20 a 24 años,2023T4,25,57
Ambos sexos,Total Nacional,De 20 a 24 años,2023T3,24,92
Ambos sexos,Total Nacional,De 20 a 24 años,2023T2,24,87
Ambos sexos,Total Nacional,De 20 a 24 años,2023T1,26,73
Ambos sexos,Total Nacional,De 20 a 24 años,2022T4,26,51
Ambos sexos,Total Nacional,De 20 a 24 años,2022T3,27,60
Ambos sexos,Total Nacional,De 20 a 24 años,2022T2,24,10
Ambos sexos,Total Nacional,De 20 a 24 años,2022T1,26,75
Ambos sexos,Total Nacional,De 20 a 24 años,2021T4,27,6
Ambos sexos,Total Nacional,De 20 a 24 años,2021T3,28,38
Ambos sexos,Total Nacional,De 20 a 24 años,2021T2,34,56
Ambos sexos,Total Nacional,De 20 a 24 años,2021T1,36,52
Ambos sexos,Total Nacional,De 20 a 24 años,2020T4,36,52
Ambos sexos,Total Nacional,De 20 a 24 años,2020T3,37,18
Ambos sexos,Total Nacional,De 20 a 24 años,2020T2,36,89
Ambos sexos,Total Nacional,De 20 a 24 años,2020T1,30,12
Ambos sexos,Total Nacional,De 20 a 24 años,2019T4,27,72
Ambos sexos,Total Nacional,De 20 a 24 años,2019T3,29,28
Ambos sexos,Total Nacional,De 20 a 24 años,2019T2,30,22
Ambos sexos,Total Nacional,De 20 a 24 años,2019T1,32,0
Ambos sexos,Total Nacional,De 20 a 24 años,2018T4,30,78
Ambos sexos,Total Nacional,De 20 a 24 años,2018T3,30,10
Ambos sexos,Total Nacional,De 20 a 24 años,2018T2,30,97
Ambos sexos,Total Nacional,De 20 a 24 años,2018T1,32,37
Ambos sexos,Total Nacional,De 20 a 24 años,2017T4,33,95
Ambos sexos,Total Nacional,De 20 a 24 años,2017T3,32,69
Ambos sexos,Total Nacional,De 20 a 24 años,2017T2,36,15
Ambos sexos,Total Nacional,De 20 a 24 años,2017T1,38,37
Ambos sexos,Total Nacional,De 20 a 24 años,2016T4,39,83
Ambos sexos,Total Nacional,De 20 a 24 años,2016T3,39,27
Ambos sexos,Total Nacional,De 20 a 24 años,2016T2,43,33
Ambos sexos,Total Nacional,De 20 a 24 años,2016T1,43,26
Ambos sexos,Total Nacional,De 20 a 24 años,2015T4,42,52
Ambos sexos,Total Nacional,De 20 a 24 años,2015T3,42,89
Ambos sexos,Total Nacional,De 20 a 24 años,2015T2,45,26
Ambos sexos,Total Nacional,De 20 a 24 años,2015T1,47,74
Ambos sexos,Total Nacional,De 20 a 24 años,2014T4,48,88
Ambos sexos,Total Nacional,De 20 a 24 años,2014T3,49,54
Ambos sexos,Total Nacional,De 20 a 24 años,2014T2,49,99
Ambos sexos,Total Nacional,De 20 a 24 años,2014T1,52,86
Ambos sexos,Total Nacional,De 20 a 24 años,2013T4,50,93
Ambos sexos,Total Nacional,De 20 a 24 años,2013T3,50,14
Ambos sexos,Total Nacional,De 20 a 24 años,2013T2,52,62
Ambos sexos,Total Nacional,De 20 a 24 años,2013T1,53,39
Ambos sexos,Total Nacional,De 20 a 24 años,2012T4,51,41
Ambos sexos,Total Nacional,De 20 a 24 años,2012T3,47,68
Ambos sexos,Total Nacional,De 20 a 24 años,2012T2,48,70
Ambos sexos,Total Nacional,De 20 a 24 años,2012T1,47,71
Ambos sexos,Total Nacional,De 20 a 24 años,2011T4,44,5
Ambos sexos,Total Nacional,De 20 a 24 años,2011T3,42,0
Ambos sexos,Total Nacional,De 20 a 24 años,2011T2,42,17
Ambos sexos,Total Nacional,De 20 a 24 años,2011T1,41,14
Ambos sexos,Total Nacional,De 20 a 24 años,2010T4,38,33
Ambos sexos,Total Nacional,De 20 a 24 años,2010T3,35,95
Ambos sexos,Total Nacional,De 20 a 24 años,2010T2,36,96
Ambos sexos,Total Nacional,De 20 a 24 años,2010T1,36,31
Ambos sexos,Total Nacional,De 20 a 24 años,2009T4,34,67
Ambos sexos,Total Nacional,De 20 a 24 años,2009T3,34,54
Ambos sexos,Total Nacional,De 20 a 24 años,2009T2,33,26
Ambos sexos,Total Nacional,De 20 a 24 años,2009T1,30,63
Ambos sexos,Total Nacional,De 20 a 24 años,2008T4,24,50
Ambos sexos,Total Nacional,De 20 a 24 años,2008T3,19,80
Ambos sexos,Total Nacional,De 20 a 24 años,2008T2,18,56
Ambos sexos,Total Nacional,De 20 a 24 años,2008T1,17,75
Ambos sexos,Total Nacional,De 20 a 24 años,2007T4,15,18
Ambos sexos,Total Nacional,De 20 a 24 años,2007T3,14,91
Ambos sexos,Total Nacional,De 20 a 24 años,2007T2,14,78
Ambos sexos,Total Nacional,De 20 a 24 años,2007T1,15,2
Ambos sexos,Total Nacional,De 20 a 24 años,2006T4,14,11
Ambos sexos,Total Nacional,De 20 a 24 años,2006T3,14,46
Ambos sexos,Total Nacional,De 20 a 24 años,2006T2,14,54
Ambos sexos,Total Nacional,De 20 a 24 años,2006T1,15,85
Ambos sexos,Total Nacional,De 20 a 24 años,2005T4,16,17
Ambos sexos,Total Nacional,De 20 a 24 años,2005T3,15,40
Ambos sexos,Total Nacional,De 20 a 24 años,2005T2,17,27
Ambos sexos,Total Nacional,De 20 a 24 años,2005T1,19,23
Ambos sexos,Total Nacional,De 20 a 24 años,2004T4,19,31
Ambos sexos,Total Nacional,De 20 a 24 años,2004T3,19,57
Ambos sexos,Total Nacional,De 20 a 24 años,2004T2,20,11
Ambos sexos,Total Nacional,De 20 a 24 años,2004T1,20,30
Ambos sexos,Total Nacional,De 20 a 24 años,2003T4,20,66
Ambos sexos,Total Nacional,De 20 a 24 años,2003T3,19,76
Ambos sexos,Total Nacional,De 20 a 24 años,2003T2,19,26
Ambos sexos,Total Nacional,De 20 a 24 años,2003T1,20,85
Ambos sexos,Total Nacional,De 20 a 24 años,2002T4,21,3
Ambos sexos,Total Nacional,De 20 a 24 años,2002T3,19,89
Ambos sexos,Total Nacional,De 20 a 24 años,2002T2,19,49
Ambos sexos,Total Nacional,De 20 a 24 años,2002T1,20,42
